Date,Season,Source,Acreage,Owner,clipped UA,clipped _1,SznEndDate,Year,UA
3/13/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,0.7,Private,0,0,1/1/2007,2007,notUA
3/13/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,8.4,Private,0,0,1/1/2007,2007,notUA
3/13/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,13.7,Private,0,0,1/1/2007,2007,notUA
3/13/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,0.4,Private,0,0,1/1/2007,2007,notUA
3/7/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,4.1,Private,0,0,1/1/2007,2007,notUA
3/7/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,2.2,Private,0,0,1/1/2007,2007,notUA
3/7/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,13.7,Private,0,0,1/1/2007,2007,notUA
3/7/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,11.1,Private,0,0,1/1/2007,2007,notUA
4/6/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,1.7,Private,0,0,1/1/2007,2007,notUA
4/6/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,3.1,Private,0,0,1/1/2007,2007,notUA
4/6/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,10.7,Private,0,0,1/1/2007,2007,notUA
4/7/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,44.7,Private,0,0,1/1/2007,2007,notUA
4/7/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,6.5,Private,0,0,1/1/2007,2007,notUA
4/7/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,9.2,Private,0,0,1/1/2007,2007,notUA
4/2/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,22.7,Private,0,0,1/1/2007,2007,notUA
3/24/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,5.5,Private,0,0,1/1/2008,2008,notUA
3/24/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,11.9,Private,0,0,1/1/2008,2008,notUA
4/21/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,3.1,Private,0,0,1/1/2007,2007,notUA
4/21/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,6.7,Private,0,0,1/1/2007,2007,notUA
4/10/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,61.1,Private,0,0,1/1/2007,2007,notUA
3/25/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,17,Private,0,0,1/1/2007,2007,notUA
3/25/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,30.6,Private,0,0,1/1/2007,2007,notUA
